title,brand,Category,Sub_Category,Column1,Column2,description
Hood Release Cable Assembly,OE Solutions,,,,,"Restore and maintain the quick, easy opening of your hood with Dorman's Hood Release Cable. Constructed of high-quality stainless steel, it naturally resists corrosion. Plus, it's engineered to counteract the wear and tear that can lead to snapping and sticking. All Dorman products are engineered in the United States and backed by 100 years of automotive aftermarket experience. Our solutions are thoroughly tested and inspected, and if you experience any difficulty installing or using our parts, we have a dedicated technical support team of ASE Blue Seal certified professionals ready to help. To learn more about our quality and innovation, visit DormanProducts.com."
3-Bag Framer's Suspension Rig Work Tool Belt with Suspenders in Digital Camo,BUCKET BOSS,,,,,"Today, Bucket Boss carries over 100 different products that organize and hold tools in the strongest, most efficient ways. For 30 years, we have prided ourselves in creating durable products that can withstand many years of wear and tear. We strive to stay ahead of the pack by constantly upgrading features and using the best quality materials on the market to create the best product for our end users. Not all tool belts are the same. This 55185 Series rig is made from an industry-leading 2-ply, 1680 denier heavyweight poly fabric for lasting durability, in digital camo. LoadBear stretch suspension technology allows the weight of the tool belt to move comfortably with your body while at work. Suspenders have moisture-wicking padding and feature a chest retaining strap as well as a stretching cell phone pocket that will fit any smart phone south of a tablet. Dedicated speed square pocket where it should be, along with 3 backwall tool slots where they should be. Pouches and suspenders can be removed or adjusted to your own liking. Barrel-bottom pouches allow for extra carrying capacity, reinforced with double layers at corner stress points of course. Additional features include one steel hammer holder in back, and an additional web loop for hammers on the pouch, cats-paw sleeves and a tape measure clip. Infinity belt can be adjusted up to a 52 in. waist by adjusting the metal slider and the heavy-duty steel grommets."
3.86 in. x 3.50 in. Solar Power Auto Darkening Welding Helmet with Large Viewing Size,Antra,,,,,"Antra AH7-860 Series welding helmet is featured with the smart chip controlled 4 sensor auto darkening lens, which is extremely fast responsive to electric arc from TIG, MIG, MMA or Plasma applications. The large viewing area 3.86 in. x 3.50 in. provides a better vision of the whole welding process, which ensures a better finish of welding or cutting. This lightweight welding helmet is so versatile that it can be used on grinding, cutting and welding applications. It is a perfect upgrade for goggles and fixed shade glass welding helmet at a fraction of cost."
Legacy 1-Light Polish Brass Wall Sconce,NORWELL,,,,,"A traditional design, the Revere design is influenced by classic colonial lanterns. The fixture features a spindle base and chic, clear glass shade. But donâ€™t let its old-school look fool youâ€” Revere features a push button on/off for maximum (and modern) convenience. High quality lighting that will add a unique design complement to your home."
Classic Rosette 2-3/4 in. Backset Polished Brass Privacy Bed/Bath Black Porcelain Door Knob,Nostalgic Warehouse,,,,,"The simple elegance of the Classic Rosette offers beauty and durability that will compliment a variety of architectural styles. Add a traditional touch with our pure Black Porcelain door knob for a simple, yet vintage, look. All Nostalgic Warehouse door knobs are mounted on a solid (not plated) forged brass base for durability and beauty."
3-7/8 in. x 14 in. x 4-1/2 in. Black Arts and Crafts Wood Vintage Decor Corbel,Ekena Millwork,,,,,"You will love these carefully designed corbels made to reflect aged, antique and rustic beauty. They are constructed of quality hardwood, made to last. Use them to make charming shelves, decorate corners of entry ways, bookends, decor and more. Each bracket comes with pre-drilled hanging slots for quick and easy installation."
Solid Border Custom Size Gray 6 in. x 36 in. Indoor Carpet Stair Tread Cover Slip Resistant Backing (Set of 13),Unbranded,,,,,"Our Custom Size Latex Back Stair Treads offers a large variety of Size and Designs. They are machine made, printed, synthetic (nylon), slip resistant latex backed Customize stair treads. Exclusively cut and binded in Usa Faciliity."
50 Amp 6000-Watt Portable Inverter Generator Parallel Connection Kit with Built-In Storage,FIRMAN,,,,,"The FIRMAN 1201 50 Amp RV Ready Parallel Kit is designed to conveniently increase your power by connecting 2 Portable Inverter Generators from the FIRMAN Inverter family. Providing up to 6,000-Watt maximum power this kit can double or triple your power. Simply unpack the dual parallel cables and single ground wires from the built-in storage compartment and attach to each of your FIRMAN Inverters. The Kit features a 14R to 50R 50 Amp 120-Volt Outlet with 50 Amp Circuit Breaker and a L5-30R 30 Amp 120-Volt Outlet with 30 Amp Circuit Breaker. Each outlet features an LED Light for improved visibility and outlet cover to protect from dust and debris. Lightweight and portable, the FIRMAN 1201 Parallel Kit includes Lifetime Technical Support, a 1-year Warranty and service center partners across North America for you to enjoy reliable power for years to come."
Black Coral Indoor/Outdoor Ottoman Cushion,Majestic Home Goods,,,,,"Add a little character to your living room or patio with the Majestic Home Goods Black Coral Large Ottoman. This Ottoman is the perfect accessory to add comfort and style to any room while functioning as a decorative foot stool, pouf, or coffee table. Woven from outdoor treated polyester, these ottomans have up to 1000-hours of U.V. protection and are able to withstand all of natures elements. The beanbags are eco-friendly and feature a zippered slipcover. Spot clean slipcover with mild detergent and hang dry. Do not wash insert. Large Ottoman by Majestic Home Goods For indoor and outdoor use Functions as a chair, footstool, or side table Zippered slipcover for easy removal Spot clean with mild detergent, hang dry Inserts are eco-friendly by using up to 50% recycled polystyrene beads Woven from durable Outdoor Treated polyester with up to 1000-hours of U.V. protection Replacement covers available for purchase Dimensions: 27 in. L x 27 in. W x 17 in. H."
Tropical Orchid 3-Piece Green Floral Cotton Full/Queen Quilt Set,Tommy Bahama,,,,,"Our Tommy Bahama tropical orchid was inspired by the tropical palms native to warm weather regions. Our Tommy Bahama tropical orchid quilt features a watercolor green front with pink and white orchids. This quilt is 100% cotton, with a cotton (80%)/polyester (20%) filling, lightweight and easy to layer. The shams feature a two piece back closure. The shams feature a 2 inch self flange, the corners of the quilt are rounded and finished with a fabric binding. This quilt set is fully reversible. We have reduced our packaging, eliminating all plastic. Your quilt set will arrive secured with a ribbon. The set includes 1 quilt and 2 shams (1 sham for the twin set). Machine washable, for easy care."
